,name,field,grade,url
236931,한국산업기술평가관리원,기획·전략·경영,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236931
236942,㈜세아제강,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236942
236947,(주)LG화학,생산·제조·설비·조립,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236947
236671,도쿄일렉트론코리아(주),인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236671
236676,(주)넥센,화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236676
236682,한국과학기술연구원,연구소·R&D,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236682
236683,두산퓨얼셀,연구소·R&D,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236683
236689,한국보건복지인재원,인사·노무·교육,1,https://www.jobkorea.co.kr/starter/PassAssay/View/236689
236703,고려신용정보(주),기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236703
236708,삼성전자(주),생산관리·공정관리·품질관리,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236708
236742,교보증권(주),금융·보험영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236742
236731,정보통신산업진흥원부설소프트웨어정책연구소,연구소·R&D,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236731
236743,국민연금공단,사무보조·문서작성,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236743
236745,삼성전자판매(주),제품·서비스영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236745
236747,SK하이닉스(주),반도체·디스플레이,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236747
236758,(주)셀트리온제약,제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236758
236759,(주)사조대림,바이오·제약·식품,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236759
236760,SPC삼립,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236760
236761,CJ제일제당(주),제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236761
236769,삼성전자(주),전기·소방·통신·안전,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236769
236783,한국가스공사,화학·에너지·환경,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236783
236787,울산과학기술원,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236787
236797,현대모비스(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236797
236500,한국산업인력공단,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236500
236514,금호타이어(주),화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236514
236536,행정안전부,빅데이터·AI(인공지능),2,https://www.jobkorea.co.kr/starter/PassAssay/View/236536
236537,한국전력공사,IT·디자인·컴퓨터강사,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236537
